text	label	prediction
Une carte hyper simple mais une serveuse complètement perdue.	neutral carte | negative serveuse                                                                                                                        	 positive carte | negative serveuse
Des erreurs de prise de commande et une patronne qui refuse de changer les plats sous prétexte qu'elle ne va pas jeter l'assiette et qu'elle l'a fait avec amour mdr.	negative patronne                                                                                                                           	 negative patronne   
Apparemment il n'est pas question de perdre de l'argent dans ce restaurant et elle invente des prétextes encensés pour faire passer la pilule.Toute la salle est de mon avis et en colère.	negative restaurant                                                                                                                            	 negative restaurant | negative restaurant
"Je vous passe les ""prises de bec"" avec la patronne pour lui faire comprendre que sa réaction est intolérable et non commerçante."	negative patronne                                                                                                                           	 negative patronne   
Restaurant a ne pas conseiller et surtout à bannir afin d’éviter que la profession de la restaurant ne soit bafouée par ce genre de pseudo restaurateur qui devrait penser à changer de métier.	negative Restaurant | negative restaurateur                                                                                                                       	 negative Restaurant | negative restaurateur              
Un cadre très rose mais agréable pour des dîners en couple ou entre amis.	positive cadre                                                                                                                            	 positive cadre                   
Des assiettes très bien présentées et un bon accueil avec des personnes souriantes.	positive assiettes | positive accueil                                                                                                                        	 positive assiettes | positive accueil | positive personnes           
Accueil chaleureux, arrière salle voûtée magnifique (ancien rempart de la ville), très bonne cuisine, grillades au feu de bois casiement sous nos yeux, produits de qualité et prix raisonnable.	positive Accueil | positive arrière salle | positive cuisine | positive produits | positive grillades au feu de bois                                                                                                        	 positive Accueil | positive arrière salle voûtée | positive cuisine | positive grillades au feu de bois
l'accueil est agréable; la cuisine correcte, les prix raisonnables, bref c'est bien mais est-ce le nombre de gens, la salle,... il manque un petit quelque chose pour s'enthousiasmer.	positive accueil | neutral cuisine | negative salle                                                                                                                    	 positive accueil | positive cuisine | positive salle | negative accueil    
Nous y sommes, plat du jour tagliatelles aux fruits de mer, produits frais mais certains caoutchouteux, le service et l'accueil très moyen, saint Jacques bonnes mais riz très sec, bref certainement mieux ailleurs!	positive produits | negative service | negative accueil | positive saint Jacques | negative riz | negative produits                                                                                                    	 negative tagliatelles aux fruits de mer | negative service | negative rice
Nous avons découvert avec par hasard ce cabanon de plage et ce fut une excellente surprise: un accueil des plus chaleureux, des plats très corrects, une ambiance lounge-beach pas surfaite.	positive cabanon de plage | positive accueil | positive plats | positive ambiance                                                                                                             	 positive accueil | positive plats | positive ambiance lounge-beach      
On voit que l'équipe prend du plaisir à travailler dans ce lieu magique.	positive équipe | positive lieu                                                                                                                        	 positive lieu                
Très bonne table dans une ruelle derrière le port donc sans avoir le défilé des touristes qui regardent votre assiette.	positive table                                                                                                                             	 positive table | positive assiette          
On trouve dans ce restaurant une cuisine provençale parfumée, présentée très joliment et en quantité généreuse.	positive cuisine provençale | positive cuisine provençale                                                                                                                    	 positive cuisine provençale parfumée | positive cuisine provençale parfumée 
Le service est très correct Nous avons passé un très bon moment et nous vous recommandons l'endroit.	positive service | positive endroit                                                                                                                         	 positive service | positive endroit          
J'ai mangé avec des amis dans ce restaurant et je trouve que la qualité des produits se sont serieusement dégradé, la salade d'accueil comporte 2 feuilles, le plat principal et le dessert sont baclés dans la présentation.	negative produits | negative salade d'accueil | negative plat principal | negative dessert                                                                                                          	 negative salade d'accueil | negative plat principal | negative dessert
De plus, l'accueil de la part du patron est froid contrairement aux serveurs très gentils.	negative accueil | positive serveurs                                                                                                                       	 negative accueil de la part du patron | positive serveurs
Les serveuses étaient plutôts agréables mais pas une cacahuète ou une olive à l'heure de l'apéritif malheureusement, pas d'assiette apéritive non plus.	positive serveuses                                                                                                                            	 positive serveuses | negative assiette apéritive 
Incompréhensible pour un bar restaurant...	negative bar restaurant                                                                                                                           	 negative bar restaurant         
Comment peut-on appeler ça un restaurant?	negative restaurant                                                                                                                            	 negative restaurant          
Un accueil et un service déplorables, une cuisine médiocre n'ayant rien à envier au manque de fraîcheur du buffet notamment.	negative accueil | negative service | negative cuisine | negative buffet                                                                                                              	 negative accueil | negative service | negative cuisine | negative buffet
Dans cet établissement je me suis sentie chez moi ayant eu un restaurant du même genre.	positive établissement                                                                                                                            	 positive établissement              
Une cuisine savoureuse faite avec amour, j'y retourne dés que je peux pour moi c'est un vrai restaurant	positive cuisine | positive restaurant                                                                                                                          	 positive cuisine savoureuse | positive restaurant          
La carte est très large, de bons plats chauds et bons!	positive carte | positive plats                                                                                                                          	 positive carte | positive plats chauds | positive plats       
Trois cocottes de moules marinières arrivent à table, à l'ouverture, les moules de l'une d'entre elles sont recouvertes de tomates et pas les autres.	neutral moules                                                                                                                            	 negative cocottes de moules marinières 
Certaines moules sont trop cuites d'autres pas assez.	negative moules                                                                                                                           	 negative moules       
Les frites ont goût d'huile.	negative frites                                                                                                                           	 negative frites       
Au milieu de ma cocotte de moule marinière j'ai la désagréable surprise de trouver un demi citron, peau comprise, déchiqueté.	negative cocotte de moule marinière                                                                                                                      	 negative demi citron | negative moule marinière
La note qui nous est présentée est défalquée d'une cocotte alors que plus personne ne souhaite manger ces moules douteuses.	negative moules                                                                                                                           	 negative moules  
Nous nous ferons ensuite de nouveau insulter par le responsable avant qu'il accepte d'encaisser nos boissons et de nous laisser partir.	negative responsable                                                                                                                           	 negative responsable  
Nous ne nous attendions pas à de la grande cuisine dans cet endroit très touristique mais nous aurions néanmoins apprécié de pouvoir déjeuner sans mettre notre santé en danger et sans nous faire manquer de respect par dessus le marché!	negative endroit                                                                                                                           	 positive cuisine | positive endroit
Premiere fois dans ce restaurant dont on nous disait pourtant du bien.	negative restaurant                                                                                                                            	 positive restaurant    
Les plats proposés sont originaux, les saveurs intéréssantes mais le rapport qualité prix n'est pas au rendez vous.	positive plats                                                                                                                             	 positive plats | positive saveurs | negative rapport qualité prix
18,50 € un risotto, où j'ai cherché du saumon fumé pourtant annoncé, que je n'ai hélas pas trouvé, c'est bien trop cher aussi bon soit il.	negative risotto | negative risotto                                                                                                                      	 negative risotto | negative saumon fumé 
On a payé le cadre coloré et le port touristique de la Cotinière.	neutral cadre | neutral port touristique                                                                                                                       	 positive cadre | positive port touristique    
Si il n'y avait que cela ça aurait pu aller mais le service a été catastrophique.	negative service                                                                                                                            	 negative service         
La prise de commande par le patron est venue bien longtemps après la fin de l'apéritif, et le pire a été le service du vin quand nous avions presque fini notre plat.	negative patron | negative service du vin                                                                                                                      	 negative patron | negative service du vin
Malgré une cuisine gouteuse nous n'y retournerons pas.	positive cuisine                                                                                                                             	 negative cuisine      
Restaurant très sympa.	positive Restaurant                                                                                                                             	 positive Restaurant       
Petite salle ambiance plage Oléronaise.	neutral ambiance                                                                                                                            	 positive ambiance plage Oléronaise 
Deco et tables raffinées (nappes et serviettes en tissus...).	positive Deco                                                                                                                             	 positive Deco | positive tables raffinées (nappes | positive serviettes en tissus)
Personnel très souriant et chaleureux.	positive Personnel                                                                                                                           	 positive Personnel                  
Menus un peu chers mais très bons.	neutral Menus | positive Menus                                                                                                                        	 negative Menus | positive Menus              
Cela dit pour du tout fait maison avec des produits frais de très bonne qualité cela reste très intéressant.	positive produits                                                                                                                            	 positive produits frais | positive produits frais           
Plats copieux et bien présentés.	positive Plats                                                                                                                            	 positive Plats | positive Plats 
Très bons, surtout les desserts (excellents).	positive desserts                                                                                                                            	 positive desserts | positive desserts 
Coctails très bons mais un peu cher pour la quantité (5/8€)	positive Coctails | neutral Coctails | negative Coctails                                                                                                                   	 positive Coctails | negative Coctails
Restaurant ouvert hors saison.	neutral Restaurant                                                                                                                             	 negative Restaurant     
Terrasse à l'ombre des arbres très agréable, jolies assiettes, poissons bien préparés, belle décoration et service sympathique.	positive Terrasse | positive assiettes | positive poissons | positive décoration | positive service                                                                                                              	 positive Terrasse | positive assiettes | positive poissons | positive décoration | positive service
L'adresse est trompeuse, le restaurant n'est pas à Castelnaudary mais dans un petit village juste après.	neutral restaurant                                                                                                                             	 negative adresse | positive restaurant           
Appelez la patronne pour savoir, elle est adorable.	positive patronne                                                                                                                            	 positive patronne              
Et faites le détour, pour un cassoulet top et généreux.	positive cassoulet | positive cassoulet                                                                                                                      	 positive cassoulet | positive cassoulet        
Avec un petit verre de Minervois.	positive verre                                                                                                                            	 positive verre de Minervois    
ET un petit fois gras juste avant.	positive fois gras                                                                                                                           	 negative fois gras juste avant    
accueil sympathique, cuisine de très bonne qualité mais parfois la main est un peu lourde sur le sel, petit problème rectifié depuis.	positive accueil | positive cuisine                                                                                                                         	 positive accueil | positive cuisine | negative main 
"Un cassoulet franchement ""infect"", qui fait honte au nom porté par le restaurant et pour un soi-disant ""restaurant traditionnel servant une cuisine de Chef faite à partir de produit brut"" (sic)... qualifié de ""Cassoulet fait Maison""!."	negative cassoulet | negative cuisine                                                                                                                      	 negative cassoulet | negative cuisine de Chef
A éviter tant pour la cuisine que pour le service.	negative cuisine | negative service                                                                                                                        	 negative cuisine | negative service                  
Repas totalement décevant et cher!	negative Repas | negative Repas                                                                                                                      	 negative Repas | negative Repas                
Pour deux entrées, deux plats et deux desserts à la carte avec une bouteille de vin nous avons trouvé le repas assez cher pour Castelnaudary (92€).	negative repas                                                                                                                            	 negative repas | negative entrées | negative plats | negative desserts | negative bouteille de vin
En plus tout provenait de conserves ou il s'agissait de plat surgelés...	negative plat                                                                                                                            	 negative conserves | negative plat surgelés               
"Je déconseille totalement ce ""restaurant""."	negative restaurant                                                                                                                            	 negative restaurant       
Service gentil.	positive Service                                                                                                                             	 positive Service        
Pizza honnêtes mais éviter le tiramisu.	neutral Pizza | negative tiramisu                                                                                                                      	 negative Pizza | negative tiramisu
Attention la bière est italienne...	negative bière                                                                                                                           	 negative bière      
Un lieu à connaitre!.	positive lieu                                                                                                                            	 positive lieu       
Cuisine excellente avec de la recherche.	positive Cuisine | positive Cuisine                                                                                                                          	 positive Cuisine | positive recherche     
Bravo pour le chef et la patissière ; nous reviendrons pour la langue de Bœuf!	positive langue de Bœuf                                                                                                                        	 positive chef | positive patisière   
Très bonne cuisine traditionnelle dans un endroit typique.	positive cuisine traditionnelle                                                                                                                           	 positive cuisine traditionnelle | positive endroit typique
Dommage pour ce petit restaurant sympa.	positive restaurant                                                                                                                             	 negative restaurant     
Le repas est juste indécent!	negative repas                                                                                                                            	 negative repas     
Rien de bon même la pomme de terre n'était pas cuite!	negative pomme de terre                                                                                                                         	 negative pomme de terre  
Ne surtout pas y aller pour bien manger, par contre on se laisse bien embarquer dans l'ambiance de ces années là.	positive ambiance                                                                                                                            	 negative manger | positive ambiance
